Handle    	Owner               	Type                	Memory    	Time Created                  
0x16100e66	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:52:53         
0xd8000e67	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:01:42         
0x84700e68	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:50         
0x83200e69	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:03:14         
0xd2900e6c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:59:26         
0x62100e6f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:04:14         
0xf3c00e70	custom/Extend.smx   	Trie                	9244      	12/12/2022 - 19:23:37         
0x2e700e71	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:57:31         
0x57700e73	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:34:59         
0x92500e74	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:07         
0x9e900e75	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:30:38         
0x7b800e76	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:11         
0xaeb00e77	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:26:02         
0xb4400e79	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:25         
0x26e00e7b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:26         
0xeb200e7d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:34         
0xa2700e7f	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:45:40         
0x76300e81	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:19:36         
0x54100e82	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:18:35         
0xdcd00e83	custom/AntiBhopCheat	CellArray           	52        	12/12/2022 - 20:45:45         
0xccf00e85	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:16         
0x96700e86	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:50:02         
0x23a00e87	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:03:55         
0x30400e88	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:48:36         
0xe6600e89	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:58:33         
0x14400e8a	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:21:55         
0x3f800e8b	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 20:27:58         
0xc7b00e8c	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 19:49:52         
0x34300e8d	custom/SMJSONAPI.smx	JSON                	-1        	12/12/2022 - 18:53:47         
